ori,Agency Name,Murder,Rape,Robbery,Aggravated Assault,Burglary,Theft,Motor Vehicle Theft,Year,Month,State,Type
OK0140100,Moore,0,1,0,7,6,39,2,2026,1,OK,City
OK0140100,Moore,0,0,1,8,8,51,8,2026,2,OK,City
OK0140100,Moore,0,0,0,12,13,52,3,2026,3,OK,City
OK0140100,Moore,0,2,0,6,13,66,7,2026,4,OK,City
OK0140100,Moore,0,1,1,21,13,54,4,2026,5,OK,City
OK0140100,Moore,0,0,0,0,0,0,0,2026,6,OK,City
OK0550600,Oklahoma City,3,42,59,346,349,1110,171,2025,10,OK,City
OK0550600,Oklahoma City,7,37,36,342,313,938,149,2025,11,OK,City
OK0550600,Oklahoma City,7,37,60,294,290,1169,175,2025,12,OK,City
OK0550600,Oklahoma City,8,37,52,245,270,894,123,2026,1,OK,City
OK0550600,Oklahoma City,5,36,40,259,297,928,139,2026,2,OK,City
OK0550600,Oklahoma City,5,45,38,304,307,1078,142,2026,3,OK,City
OK0550600,Oklahoma City,5,40,50,374,278,1035,172,2026,4,OK,City
OK0550600,Oklahoma City,3,33,70,318,278,1141,168,2026,5,OK,City
OK0550600,Oklahoma City,0,8,15,114,114,384,54,2026,6,OK,City
OK0720500,Tulsa,3,34,28,208,193,834,168,2025,10,OK,City
OK0720500,Tulsa,1,45,34,161,191,877,168,2025,11,OK,City
OK0720500,Tulsa,2,27,23,179,165,745,129,2025,12,OK,City
OK0720500,Tulsa,1,32,32,180,165,760,108,2026,1,OK,City
OK0720500,Tulsa,2,26,33,198,145,662,122,2026,2,OK,City
OK0720500,Tulsa,4,35,43,242,186,756,76,2026,3,OK,City
OK0720500,Tulsa,2,33,45,171,221,692,106,2026,4,OK,City
OK0720500,Tulsa,1,5,2,16,12,54,9,2026,5,OK,City
OK0720500,Tulsa,0,0,0,0,0,0,0,2026,6,OK,City
SC0020000,Aiken,0,2,1,29,21,125,30,2025,10,SC,County
SC0020000,Aiken,2,6,2,27,24,86,21,2025,11,SC,County
SC0020000,Aiken,2,1,1,12,38,97,14,2025,12,SC,County
SC0020000,Aiken,0,1,0,25,20,109,36,2026,1,SC,County
SC0020000,Aiken,1,1,0,14,21,72,23,2026,2,SC,County
SC0020000,Aiken,0,7,0,22,22,97,14,2026,3,SC,County
SC0020000,Aiken,3,2,2,35,22,91,21,2026,4,SC,County
SC0020000,Aiken,1,1,1,16,22,85,17,2026,5,SC,County
SC0020000,Aiken,0,1,4,11,20,88,12,2026,6,SC,County
SC0040000,Anderson,0,2,2,35,38,205,18,2025,10,SC,County
SC0040000,Anderson,0,4,0,55,35,173,16,2025,11,SC,County
SC0040000,Anderson,1,6,2,42,38,148,16,2025,12,SC,County
SC0040000,Anderson,2,3,3,36,38,158,23,2026,1,SC,County
SC0040000,Anderson,0,2,5,46,42,174,15,2026,2,SC,County
SC0040000,Anderson,0,2,2,57,40,200,14,2026,3,SC,County
SC0040000,Anderson,1,3,1,42,28,210,24,2026,4,SC,County
SC0040000,Anderson,0,6,2,65,33,199,12,2026,5,SC,County
SC0040000,Anderson,0,6,1,67,35,152,11,2026,6,SC,County
SC0070000,Beaufort,0,5,1,4,5,41,4,2025,10,SC,County
SC0070000,Beaufort,0,2,1,4,10,51,3,2025,11,SC,County
SC0070000,Beaufort,0,2,1,16,17,63,11,2025,12,SC,County
SC0070000,Beaufort,0,1,0,13,20,73,7,2026,1,SC,County
SC0070000,Beaufort,2,0,1,17,21,58,6,2026,2,SC,County
SC0070000,Beaufort,0,1,0,26,13,73,11,2026,3,SC,County
SC0070000,Beaufort,0,3,2,20,11,84,5,2026,4,SC,County
SC0070000,Beaufort,0,1,0,25,8,47,3,2026,5,SC,County
SC0070000,Beaufort,1,0,3,18,18,59,7,2026,6,SC,County
SC0080000,Berkeley,0,5,2,37,20,113,21,2025,10,SC,County
SC0080000,Berkeley,1,1,1,40,20,88,9,2025,11,SC,County
SC0080000,Berkeley,0,4,4,35,21,102,20,2025,12,SC,County
SC0080000,Berkeley,0,3,2,26,19,113,30,2026,1,SC,County
SC0080000,Berkeley,0,2,0,20,29,84,13,2026,2,SC,County
SC0080000,Berkeley,0,3,3,20,15,100,24,2026,3,SC,County
SC0080000,Berkeley,1,4,4,33,20,88,23,2026,4,SC,County
SC0080000,Berkeley,0,5,1,30,19,112,15,2026,5,SC,County
SC0080000,Berkeley,0,4,4,24,16,94,10,2026,6,SC,County
SC0100100,Charleston,1,5,9,21,16,159,12,2025,10,SC,City
SC0100100,Charleston,1,0,1,26,15,177,16,2025,11,SC,City
SC0100100,Charleston,1,0,6,22,12,181,12,2025,12,SC,City
SC0100100,Charleston,3,0,0,24,12,141,11,2026,1,SC,City
SC0100100,Charleston,0,2,3,26,15,128,11,2026,2,SC,City
SC0100100,Charleston,0,2,3,29,12,137,14,2026,3,SC,City
SC0100100,Charleston,1,2,6,29,16,162,22,2026,4,SC,City
SC0100100,Charleston,1,5,2,20,14,136,21,2026,5,SC,City
SC0100100,Charleston,0,1,4,25,6,180,24,2026,6,SC,City
SC0230000,Greenville,2,8,6,79,77,262,21,2025,10,SC,County
SC0230200,Greenville,0,3,4,20,12,142,16,2025,10,SC,City
SC0230000,Greenville,1,2,3,75,50,258,24,2025,11,SC,County
SC0230200,Greenville,0,0,3,14,12,120,9,2025,11,SC,City
SC0230000,Greenville,2,12,8,74,65,231,24,2025,12,SC,County
SC0230200,Greenville,0,0,2,29,10,152,12,2025,12,SC,City
SC0230000,Greenville,1,10,6,79,53,245,28,2026,1,SC,County
SC0230200,Greenville,1,0,2,24,17,104,9,2026,1,SC,City
SC0230000,Greenville,0,5,6,70,51,195,36,2026,2,SC,County
SC0230200,Greenville,0,2,4,18,9,120,7,2026,2,SC,City
SC0230000,Greenville,3,9,3,91,45,214,26,2026,3,SC,County
SC0230200,Greenville,1,3,4,30,21,128,14,2026,3,SC,City
SC0230000,Greenville,2,9,6,95,52,282,36,2026,4,SC,County
SC0230200,Greenville,0,1,3,25,13,116,22,2026,4,SC,City
SC0230000,Greenville,1,10,8,77,57,260,34,2026,5,SC,County
SC0230200,Greenville,0,2,6,45,13,101,15,2026,5,SC,City
SC0230000,Greenville,2,8,7,87,44,198,38,2026,6,SC,County
SC0230200,Greenville,0,3,3,46,20,112,22,2026,6,SC,City
SC0260400,Horry,1,9,5,45,32,256,31,2025,10,SC,County
SC0260400,Horry,0,4,2,26,55,174,22,2025,11,SC,County
SC0260400,Horry,0,7,2,29,32,129,18,2025,12,SC,County
SC0260400,Horry,1,12,6,42,54,226,37,2026,1,SC,County
SC0260400,Horry,0,6,1,27,47,219,16,2026,2,SC,County
SC0260400,Horry,2,10,1,12,21,85,24,2026,3,SC,County
SC0260400,Horry,0,6,3,56,33,311,32,2026,4,SC,County
SC0260400,Horry,2,11,6,62,61,254,38,2026,5,SC,County
SC0260400,Horry,1,9,1,50,30,257,32,2026,6,SC,County
SC0290000,Lancaster,0,4,0,10,11,64,7,2025,10,SC,County
SC0290000,Lancaster,1,5,2,11,21,48,7,2025,11,SC,County
SC0290000,Lancaster,0,3,1,12,15,53,2,2025,12,SC,County
SC0290000,Lancaster,2,4,2,5,10,65,3,2026,1,SC,County
SC0290000,Lancaster,0,4,1,15,7,26,2,2026,2,SC,County
SC0290000,Lancaster,1,3,2,20,6,48,5,2026,3,SC,County
SC0290000,Lancaster,0,9,0,9,11,39,6,2026,4,SC,County
SC0290000,Lancaster,0,4,1,16,8,38,4,2026,5,SC,County
SC0290000,Lancaster,0,7,3,16,5,33,4,2026,6,SC,County
SC0320000,Lexington,0,4,4,39,41,170,26,2025,10,SC,County
SC0320000,Lexington,1,3,2,48,39,167,38,2025,11,SC,County
SC0320000,Lexington,0,2,1,34,29,168,26,2025,12,SC,County
SC0320000,Lexington,0,11,0,25,38,184,21,2026,1,SC,County
SC0320000,Lexington,1,4,4,27,54,182,32,2026,2,SC,County
SC0320000,Lexington,2,1,0,30,64,215,37,2026,3,SC,County
SC0320000,Lexington,1,7,3,36,42,159,34,2026,4,SC,County
SC0320000,Lexington,1,13,0,40,43,208,40,2026,5,SC,County
SC0320000,Lexington,0,5,5,39,36,176,37,2026,6,SC,County
SC0100300,Mount Pleasant,0,0,2,8,8,83,10,2025,10,SC,City
SC0100300,Mount Pleasant,0,1,1,11,8,67,4,2025,11,SC,City
SC0100300,Mount Pleasant,0,2,1,11,6,67,7,2025,12,SC,City
SC0100300,Mount Pleasant,0,0,0,14,7,63,3,2026,1,SC,City
SC0100300,Mount Pleasant,0,1,0,7,2,48,2,2026,2,SC,City
SC0100300,Mount Pleasant,0,2,0,11,9,53,4,2026,3,SC,City
SC0100300,Mount Pleasant,0,0,4,18,5,68,5,2026,4,SC,City
SC0100300,Mount Pleasant,0,1,1,9,4,59,3,2026,5,SC,City
SC0100300,Mount Pleasant,0,0,1,11,4,52,8,2026,6,SC,City
SC0100800,North Charleston,1,4,12,46,46,301,34,2025,10,SC,City
SC0100800,North Charleston,3,3,13,47,32,310,36,2025,11,SC,City
SC0100800,North Charleston,2,10,8,39,28,306,26,2025,12,SC,City
SC0100800,North Charleston,1,6,8,37,28,244,23,2026,1,SC,City
SC0100800,North Charleston,0,7,8,44,27,211,28,2026,2,SC,City
SC0100800,North Charleston,1,10,9,67,19,222,29,2026,3,SC,City
SC0100800,North Charleston,1,6,13,39,17,222,22,2026,4,SC,City
SC0100800,North Charleston,0,7,10,48,21,226,27,2026,5,SC,City
SC0100800,North Charleston,0,6,11,73,26,243,21,2026,6,SC,City
SC0460300,Rock Hill,0,2,1,20,21,98,11,2025,10,SC,City
SC0460300,Rock Hill,0,2,2,23,7,123,12,2025,11,SC,City
SC0460300,Rock Hill,0,0,2,16,14,93,12,2025,12,SC,City
SC0460300,Rock Hill,0,1,3,12,31,97,12,2026,1,SC,City
SC0460300,Rock Hill,2,4,1,12,8,98,11,2026,2,SC,City
SC0460300,Rock Hill,0,4,3,13,13,119,9,2026,3,SC,City
SC0460300,Rock Hill,1,3,2,35,11,131,15,2026,4,SC,City
SC0460300,Rock Hill,1,2,5,21,9,164,16,2026,5,SC,City
SC0460300,Rock Hill,1,2,1,22,12,105,6,2026,6,SC,City
TN0790600,Bartlett,0,0,0,10,4,19,2,2025,10,TN,City
TN0790600,Bartlett,0,0,0,9,5,28,1,2025,11,TN,City
TN0790600,Bartlett,0,0,1,13,6,31,0,2025,12,TN,City
TN0790600,Bartlett,0,2,0,4,4,20,0,2026,1,TN,City
TN0790600,Bartlett,0,0,0,5,6,24,3,2026,2,TN,City
TN0790600,Bartlett,0,1,0,8,4,28,3,2026,3,TN,City
TN0790600,Bartlett,0,0,0,9,2,32,2,2026,4,TN,City
TN0790600,Bartlett,0,0,1,8,4,20,2,2026,5,TN,City
TN0790600,Bartlett,0,1,0,10,7,24,1,2026,6,TN,City
TN0330100,Chattanooga,0,13,9,105,65,430,50,2025,10,TN,City
TN0330100,Chattanooga,0,12,10,82,47,421,76,2025,11,TN,City
TN0330100,Chattanooga,1,9,7,88,54,367,41,2025,12,TN,City
TN0330100,Chattanooga,2,6,9,72,54,367,46,2026,1,TN,City
TN0330100,Chattanooga,0,11,9,62,53,334,46,2026,2,TN,City
TN0330100,Chattanooga,1,11,12,90,53,382,60,2026,3,TN,City
TN0330100,Chattanooga,1,13,9,113,63,389,57,2026,4,TN,City
TN0330100,Chattanooga,1,2,12,98,57,455,61,2026,5,TN,City
TN0330100,Chattanooga,0,5,9,100,57,386,36,2026,6,TN,City
TN0630100,Clarksville,3,5,4,31,7,176,16,2025,10,TN,City
TN0630100,Clarksville,2,6,2,21,12,135,14,2025,11,TN,City
TN0630100,Clarksville,1,7,3,61,5,97,12,2025,12,TN,City
TN0630100,Clarksville,0,10,3,50,5,108,17,2026,1,TN,City
TN0630100,Clarksville,0,5,5,34,5,103,16,2026,2,TN,City
TN0630100,Clarksville,0,4,3,37,6,99,10,2026,3,TN,City
TN0630100,Clarksville,1,4,0,16,6,74,11,2026,4,TN,City
TN0630100,Clarksville,0,3,2,41,9,124,15,2026,5,TN,City
TN0630100,Clarksville,0,5,1,24,0,82,7,2026,6,TN,City
TN0790100,Collierville,0,1,1,16,2,29,3,2025,10,TN,City
TN0790100,Collierville,0,0,0,3,2,31,0,2025,11,TN,City
TN0790100,Collierville,0,1,0,3,4,32,3,2025,12,TN,City
TN0790100,Collierville,0,0,1,8,1,30,2,2026,1,TN,City
TN0790100,Collierville,0,0,0,6,1,34,2,2026,2,TN,City
TN0790100,Collierville,0,2,0,3,2,21,3,2026,3,TN,City
TN0790100,Collierville,0,1,1,11,0,25,2,2026,4,TN,City
TN0790100,Collierville,0,1,0,2,0,16,0,2026,5,TN,City
TN0790100,Collierville,0,0,0,1,41,16,0,2026,6,TN,City
TN0940100,Franklin,0,0,0,15,1,36,2,2025,10,TN,City
TN0940100,Franklin,0,1,1,3,0,36,5,2025,11,TN,City
TN0940100,Franklin,0,3,0,16,3,47,3,2025,12,TN,City
TN0940100,Franklin,0,1,0,17,3,50,2,2026,1,TN,City
TN0940100,Franklin,0,2,0,17,2,45,5,2026,2,TN,City
TN0940100,Franklin,0,2,1,6,2,42,3,2026,3,TN,City
TN0940100,Franklin,0,0,0,15,5,39,4,2026,4,TN,City
TN0940100,Franklin,0,5,1,8,5,48,4,2026,5,TN,City
TN0940100,Franklin,0,1,0,5,3,30,4,2026,6,TN,City
TN0330000,Hamilton,0,0,0,16,9,26,0,2025,10,TN,County
TN0330000,Hamilton,0,2,0,0,0,4,0,2025,11,TN,County
TN0330000,Hamilton,0,0,0,2,0,5,0,2025,12,TN,County
TN0330000,Hamilton,1,0,1,20,5,24,6,2026,1,TN,County
TN0330000,Hamilton,0,4,0,16,7,25,4,2026,2,TN,County
TN0330000,Hamilton,0,1,0,20,12,42,5,2026,3,TN,County
TN0330000,Hamilton,0,3,0,11,3,45,2,2026,4,TN,County
TN0330000,Hamilton,0,3,0,16,8,44,9,2026,5,TN,County
TN0330000,Hamilton,0,1,0,16,10,26,9,2026,6,TN,County
TN0830400,Hendersonville,0,0,0,6,3,25,2,2025,10,TN,City
TN0830400,Hendersonville,0,1,0,0,2,21,2,2025,11,TN,City
TN0830400,Hendersonville,0,0,0,3,5,25,2,2025,12,TN,City
TN0830400,Hendersonville,0,0,0,5,2,25,0,2026,1,TN,City
TN0830400,Hendersonville,0,0,1,7,2,21,4,2026,2,TN,City
TN0830400,Hendersonville,0,0,1,5,4,22,1,2026,3,TN,City
TN0830400,Hendersonville,0,1,0,2,0,23,1,2026,4,TN,City
TN0830400,Hendersonville,0,0,0,3,5,31,2,2026,5,TN,City
TN0830400,Hendersonville,0,0,0,0,1,26,2,2026,6,TN,City
TN0570100,Jackson,0,4,3,31,13,119,13,2025,10,TN,City
TN0570100,Jackson,1,2,3,32,13,101,9,2025,11,TN,City
TN0570100,Jackson,0,3,3,36,13,111,8,2025,12,TN,City
TN0570100,Jackson,1,2,2,31,18,118,14,2026,1,TN,City
TN0570100,Jackson,3,2,2,32,17,112,10,2026,2,TN,City
TN0570100,Jackson,3,1,1,23,40,105,10,2026,3,TN,City
TN0570100,Jackson,0,3,8,57,16,113,17,2026,4,TN,City
TN0570100,Jackson,0,3,8,22,14,105,12,2026,5,TN,City
TN0570100,Jackson,2,1,2,37,22,105,10,2026,6,TN,City
TN0900100,Johnson City,0,3,6,17,19,131,7,2025,10,TN,City
TN0900100,Johnson City,0,4,1,13,11,117,6,2025,11,TN,City
TN0900100,Johnson City,0,2,1,11,9,82,11,2025,12,TN,City
TN0900100,Johnson City,0,4,1,14,9,65,8,2026,1,TN,City
TN0900100,Johnson City,0,4,1,9,10,56,8,2026,2,TN,City
TN0900100,Johnson City,0,1,0,15,10,82,8,2026,3,TN,City
TN0900100,Johnson City,0,0,1,13,7,85,5,2026,4,TN,City
TN0900100,Johnson City,0,3,0,14,7,85,2,2026,5,TN,City
TN0900100,Johnson City,0,2,5,16,9,87,11,2026,6,TN,City
TN0820200,Kingsport,0,2,2,15,10,77,12,2025,10,TN,City
TN0820200,Kingsport,1,4,2,31,14,74,4,2025,11,TN,City
TN0820200,Kingsport,0,3,0,24,10,72,6,2025,12,TN,City
TN0820200,Kingsport,0,2,1,5,12,58,6,2026,1,TN,City
TN0820200,Kingsport,1,1,0,15,18,58,5,2026,2,TN,City
TN0820200,Kingsport,0,2,2,16,13,82,5,2026,3,TN,City
TN0820200,Kingsport,0,5,1,11,8,80,7,2026,4,TN,City
TN0820200,Kingsport,0,1,0,13,11,91,8,2026,5,TN,City
TN0820200,Kingsport,1,2,0,15,8,90,10,2026,6,TN,City
TN0470000,Knox,0,8,2,37,18,156,13,2025,10,TN,County
TN0470000,Knox,1,7,0,34,18,156,25,2025,11,TN,County
TN0470000,Knox,1,4,0,42,18,157,30,2025,12,TN,County
TN0470000,Knox,0,1,2,30,24,107,17,2026,1,TN,County
TN0470000,Knox,0,5,1,41,18,99,22,2026,2,TN,County
TN0470000,Knox,1,4,0,24,19,116,22,2026,3,TN,County
TN0470000,Knox,0,8,2,50,23,115,30,2026,4,TN,County
TN0470000,Knox,0,10,0,36,16,115,19,2026,5,TN,County
TN0470000,Knox,0,7,1,34,24,86,17,2026,6,TN,County
TN0470100,Knoxville,1,11,8,75,39,297,42,2025,10,TN,City
TN0470100,Knoxville,0,0,0,0,0,0,0,2025,10,TN,City
TN0470100,Knoxville,2,8,6,99,38,262,44,2025,11,TN,City
TN0470100,Knoxville,0,0,0,0,0,0,0,2025,11,TN,City
TN0470100,Knoxville,3,4,7,71,42,244,46,2025,12,TN,City
TN0470100,Knoxville,0,0,0,0,0,0,0,2025,12,TN,City
TN0470100,Knoxville,0,7,10,52,46,236,34,2026,1,TN,City
TN0470100,Knoxville,0,0,0,0,0,0,0,2026,1,TN,City
TN0470100,Knoxville,0,4,9,53,29,202,21,2026,2,TN,City
TN0470100,Knoxville,0,0,0,0,0,0,0,2026,2,TN,City
TN0470100,Knoxville,0,11,10,116,38,180,38,2026,3,TN,City
TN0470100,Knoxville,0,0,0,0,0,0,0,2026,3,TN,City
TN0470100,Knoxville,0,9,10,78,43,239,36,2026,4,TN,City
TN0470100,Knoxville,0,0,0,0,0,0,0,2026,4,TN,City
TN0470100,Knoxville,3,12,11,85,49,269,34,2026,5,TN,City
TN0470100,Knoxville,0,0,0,0,0,0,0,2026,5,TN,City
TN0470100,Knoxville,0,5,10,58,40,259,55,2026,6,TN,City
TN0470100,Knoxville,0,0,0,0,0,0,0,2026,6,TN,City
TNMPD0000,Memphis,9,21,65,451,308,1406,184,2025,10,TN,City
TNMPD0000,Memphis,9,25,73,478,320,1241,175,2025,11,TN,City
TNMPD0000,Memphis,11,15,79,593,339,1335,218,2025,12,TN,City
TNMPD0000,Memphis,11,18,75,571,219,1010,198,2026,1,TN,City
TNMPD0000,Memphis,15,18,62,531,254,1048,165,2026,2,TN,City
TNMPD0000,Memphis,14,25,74,739,203,1258,202,2026,3,TN,City
TNMPD0000,Memphis,11,21,98,619,290,1200,260,2026,4,TN,City
TNMPD0000,Memphis,12,21,91,698,275,1279,284,2026,5,TN,City
TNMPD0000,Memphis,9,22,77,653,314,1295,277,2026,6,TN,City
TN0750100,Murfreesboro,1,5,2,47,18,175,15,2025,10,TN,City
TN0750100,Murfreesboro,0,10,4,50,17,137,18,2025,11,TN,City
TN0750100,Murfreesboro,0,10,3,29,16,135,8,2025,12,TN,City
TN0750100,Murfreesboro,1,8,1,56,21,123,9,2026,1,TN,City
TN0750100,Murfreesboro,0,5,2,41,13,138,11,2026,2,TN,City
TN0750100,Murfreesboro,1,9,5,60,12,127,14,2026,3,TN,City
TN0750100,Murfreesboro,1,9,3,42,12,131,10,2026,4,TN,City
TN0750100,Murfreesboro,0,16,2,80,15,128,10,2026,5,TN,City
TN0750100,Murfreesboro,1,4,3,54,14,157,10,2026,6,TN,City
TN0190100,Nashville,6,44,53,474,217,1791,262,2025,10,TN,City
TN0190100,Nashville,3,41,72,385,221,1637,215,2025,11,TN,City
TN0190100,Nashville,5,37,58,345,231,1768,221,2025,12,TN,City
TN0190100,Nashville,4,38,54,370,241,1518,252,2026,1,TN,City
TN0190100,Nashville,3,41,48,320,198,1270,223,2026,2,TN,City
TN0190100,Nashville,7,44,47,403,251,1384,214,2026,3,TN,City
TN0190100,Nashville,2,34,63,401,199,1434,192,2026,4,TN,City
TN0190100,Nashville,2,42,42,384,189,1332,242,2026,5,TN,City
TN0190100,Nashville,1,22,37,354,177,1444,221,2026,6,TN,City
TN0750000,Rutherford,0,2,0,19,7,29,6,2025,10,TN,County
TN0750000,Rutherford,0,1,0,15,5,19,5,2025,11,TN,County
TN0750000,Rutherford,0,1,1,14,2,14,4,2025,12,TN,County
TN0750000,Rutherford,1,0,0,13,2,8,9,2026,1,TN,County
TN0750000,Rutherford,0,1,0,21,3,20,2,2026,2,TN,County
TN0750000,Rutherford,0,3,0,10,1,10,4,2026,3,TN,County
TN0750000,Rutherford,0,2,0,5,3,14,3,2026,4,TN,County
TN0750000,Rutherford,0,1,0,10,5,19,4,2026,5,TN,County
TN0750000,Rutherford,1,0,0,18,2,25,3,2026,6,TN,County
TN0790000,Shelby,0,0,3,22,18,74,21,2025,10,TN,County
TN0790000,Shelby,2,3,0,22,17,58,15,2025,11,TN,County
TN0790000,Shelby,0,2,3,27,17,96,10,2025,12,TN,County
TN0790000,Shelby,0,2,6,29,11,59,18,2026,1,TN,County
TN0790000,Shelby,2,5,1,29,14,49,5,2026,2,TN,County
TN0790000,Shelby,0,3,2,34,17,64,14,2026,3,TN,County
TN0790000,Shelby,2,2,1,32,26,63,32,2026,4,TN,County
TN0790000,Shelby,1,1,1,36,24,76,14,2026,5,TN,County
TN0790000,Shelby,0,4,1,39,12,56,32,2026,6,TN,County
TN0750200,Smyrna,0,1,1,16,7,83,7,2025,10,TN,City
TN0750200,Smyrna,0,2,0,6,5,68,6,2025,11,TN,City
TN0750200,Smyrna,1,4,0,9,7,101,5,2025,12,TN,City
TN0750200,Smyrna,0,3,0,6,1,56,9,2026,1,TN,City
TN0750200,Smyrna,0,1,0,6,1,73,12,2026,2,TN,City
TN0750200,Smyrna,0,4,1,14,7,70,9,2026,3,TN,City
TN0750200,Smyrna,0,1,2,10,12,69,12,2026,4,TN,City
TN0750200,Smyrna,1,2,1,15,9,63,16,2026,5,TN,City
TN0750200,Smyrna,0,2,1,6,7,74,12,2026,6,TN,City
TN0600300,Spring Hill,0,1,0,6,1,24,4,2025,10,TN,City
TN0600300,Spring Hill,0,0,1,6,1,20,1,2025,11,TN,City
TN0600300,Spring Hill,0,1,0,4,4,22,2,2025,12,TN,City
TN0600300,Spring Hill,0,0,1,6,4,20,3,2026,1,TN,City
TN0600300,Spring Hill,0,0,0,4,2,12,1,2026,2,TN,City
TN0600300,Spring Hill,0,2,0,4,5,23,1,2026,3,TN,City
TN0600300,Spring Hill,0,1,0,8,3,13,0,2026,4,TN,City
TN0600300,Spring Hill,0,0,0,4,9,20,0,2026,5,TN,City
TN0600300,Spring Hill,0,1,0,4,3,14,0,2026,6,TN,City
UT0181200,Draper,0,1,2,7,4,28,4,2025,10,UT,City
UT0181200,Draper,0,3,2,4,2,39,3,2025,11,UT,City
UT0181200,Draper,0,1,0,5,9,34,2,2025,12,UT,City
UT0181200,Draper,0,3,0,0,3,42,2,2026,1,UT,City
UT0181200,Draper,0,5,0,4,3,32,3,2026,2,UT,City
UT0181200,Draper,0,4,0,7,4,38,2,2026,3,UT,City
UT0181200,Draper,0,0,0,1,2,44,3,2026,4,UT,City
UT0181200,Draper,0,2,0,4,3,52,1,2026,5,UT,City
UT0181200,Draper,0,0,0,0,0,0,0,2026,6,UT,City
UT0060300,Layton,0,1,1,4,6,129,6,2025,10,UT,City
UT0060300,Layton,0,5,1,3,5,87,6,2025,11,UT,City
UT0060300,Layton,0,0,0,11,4,84,6,2025,12,UT,City
UT0060300,Layton,0,4,0,6,8,87,6,2026,1,UT,City
UT0060300,Layton,0,2,1,2,4,65,6,2026,2,UT,City
UT0060300,Layton,0,4,1,7,11,68,5,2026,3,UT,City
UT0060300,Layton,0,3,2,8,3,54,0,2026,4,UT,City
UT0060300,Layton,0,1,0,8,3,62,7,2026,5,UT,City
UT0060300,Layton,0,0,0,0,0,0,0,2026,6,UT,City
UT0030100,Logan,0,1,0,3,7,44,1,2025,10,UT,City
UT0030100,Logan,0,2,0,6,6,27,3,2025,11,UT,City
UT0030100,Logan,0,4,0,6,2,27,4,2025,12,UT,City
UT0030100,Logan,0,2,0,2,2,29,3,2026,1,UT,City
UT0030100,Logan,0,4,0,5,4,31,1,2026,2,UT,City
UT0030100,Logan,0,3,0,7,6,49,1,2026,3,UT,City
UT0030100,Logan,0,4,0,3,4,32,2,2026,4,UT,City
UT0030100,Logan,0,5,0,7,6,52,10,2026,5,UT,City
UT0030100,Logan,0,0,0,0,0,0,0,2026,6,UT,City
UT0290100,Ogden,4,10,3,13,15,102,7,2025,10,UT,City
UT0290100,Ogden,0,11,4,23,8,83,15,2025,11,UT,City
UT0290100,Ogden,0,4,7,32,13,101,10,2025,12,UT,City
UT0290100,Ogden,0,4,0,29,5,104,12,2026,1,UT,City
UT0290100,Ogden,0,8,7,15,8,98,10,2026,2,UT,City
UT0290100,Ogden,2,9,3,21,13,90,16,2026,3,UT,City
UT0290100,Ogden,0,9,3,26,7,89,4,2026,4,UT,City
UT0290100,Ogden,0,6,2,15,9,115,5,2026,5,UT,City
UT0290100,Ogden,0,0,0,0,0,0,0,2026,6,UT,City
UT0250300,Orem,0,5,2,5,12,91,3,2025,10,UT,City
UT0250300,Orem,0,4,0,3,3,78,6,2025,11,UT,City
UT0250300,Orem,0,7,0,3,4,84,6,2025,12,UT,City
UT0250300,Orem,0,11,0,11,5,69,7,2026,1,UT,City
UT0250300,Orem,0,7,0,3,5,60,5,2026,2,UT,City
UT0250300,Orem,0,7,1,4,4,63,8,2026,3,UT,City
UT0250300,Orem,0,2,0,4,3,68,3,2026,4,UT,City
UT0250300,Orem,0,3,2,7,5,63,8,2026,5,UT,City
UT0250300,Orem,0,0,0,0,0,0,0,2026,6,UT,City
UT0250600,Provo,0,7,1,10,9,88,4,2025,10,UT,City
UT0250600,Provo,0,3,1,9,13,79,7,2025,11,UT,City
UT0250600,Provo,0,3,2,5,6,89,5,2025,12,UT,City
UT0250600,Provo,0,5,0,8,3,76,10,2026,1,UT,City
UT0250600,Provo,0,1,0,5,8,73,5,2026,2,UT,City
UT0250600,Provo,0,3,3,9,9,74,6,2026,3,UT,City
UT0250600,Provo,0,3,1,11,7,54,3,2026,4,UT,City
UT0250600,Provo,0,0,0,0,0,0,0,2026,5,UT,City
UT0250600,Provo,0,0,0,0,0,0,0,2026,6,UT,City
UT0180500,Sandy,0,0,0,0,0,0,0,2025,10,UT,City
UT0180500,Sandy,0,0,0,0,0,0,0,2025,11,UT,City
UT0180500,Sandy,0,0,0,0,0,0,0,2025,12,UT,City
UT0180500,Sandy,0,2,3,11,7,104,11,2026,1,UT,City
UT0180500,Sandy,0,1,3,30,10,102,3,2026,2,UT,City
UT0180500,Sandy,0,2,2,8,11,126,11,2026,3,UT,City
UT0180500,Sandy,0,2,3,4,12,83,4,2026,4,UT,City
UT0180500,Sandy,0,4,1,3,14,105,6,2026,5,UT,City
UT0180500,Sandy,0,0,0,0,0,0,0,2026,6,UT,City
UT0252200,Saratoga Springs,0,2,0,1,1,13,2,2025,10,UT,City
UT0252200,Saratoga Springs,0,0,0,4,1,26,1,2025,11,UT,City
UT0252200,Saratoga Springs,0,1,0,6,2,28,0,2025,12,UT,City
UT0252200,Saratoga Springs,0,0,1,1,0,13,1,2026,1,UT,City
UT0252200,Saratoga Springs,0,3,0,1,0,22,0,2026,2,UT,City
UT0252200,Saratoga Springs,0,0,0,2,0,12,3,2026,3,UT,City
